,vin,triggerType_triggerType,triggerType_context,createdDateTime,receivedDateTime,hrTotalVehicleDistance,totalEngineHours,grossCombinationVehicleWeight,snapshotData_gnssPosition_latitude,snapshotData_gnssPosition_longitude,snapshotData_gnssPosition_heading,snapshotData_gnssPosition_speed,snapshotData_gnssPosition_positionDateTime,snapshotData_wheelBasedSpeed,snapshotData_fuelType,snapshotData_fuelLevel1,snapshotData_catalystFuelLevel,snapshotData_driver1WorkingState,snapshotData_driver2WorkingState,snapshotData_ambientAirTemperature,uptimeData_engineCoolantTemperature,uptimeData_serviceBrakeAirPressureCircuit1,uptimeData_serviceBrakeAirPressureCircuit2
0,XLRTEF5300G450805,IGNITION_ON,RFMS,2024-03-27T05:30:02.334Z,2024-03-27T05:31:20.694Z,83648285,0,0,51.264967,4.283523,0,0.01,2024-03-27T05:29:12.000Z,0.0,Diesel,0.0,99,REST,REST,20,21,2040,2040
1,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:30:19.634Z,2024-03-27T05:31:35.615Z,83648285,0,0,51.264968,4.283523,0,0.0,2024-03-27T05:29:27.000Z,0.0,Diesel,99.2,0,REST,REST,0,0,0,0
2,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:31:00.010Z,2024-03-27T05:32:09.086Z,83648285,1703,655350,51.264968,4.283523,0,0.0,2024-03-27T05:30:36.000Z,0.0,Diesel,99.2,99,WORK,REST,7,21,528,528
3,XLRTEF5300G450805,ENGINE_ON,RFMS,2024-03-27T05:31:00.981Z,2024-03-27T05:32:10.642Z,83648285,0,655350,51.264968,4.283523,0,0.0,2024-03-27T05:31:00.000Z,0.0,Diesel,99.2,99,WORK,REST,7,21,528,528
4,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:33:44.881Z,2024-03-27T05:34:54.411Z,83648290,1703,655350,51.264961,4.283535,0,0.0,2024-03-27T05:33:36.000Z,4.0,Diesel,99.2,99,WORK,REST,7,29,944,944
5,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:33:45.584Z,2024-03-27T05:34:57.114Z,83648295,0,0,51.265012,4.28358,39,1.75,2024-03-27T05:33:44.000Z,6.0,Diesel,99.2,0,DRIVE,DRIVER_AVAILABLE,0,0,0,0
6,XLRTEF5300G450805,DRIVER_2_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:33:45.584Z,2024-03-27T05:34:57.115Z,83648295,0,0,51.265012,4.28358,39,1.75,2024-03-27T05:33:44.000Z,6.0,Diesel,99.2,0,DRIVE,DRIVER_AVAILABLE,0,0,0,0
7,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:35:26.582Z,2024-03-27T05:36:35.039Z,83648730,0,0,51.266747,4.288068,355,0.06,2024-03-27T05:35:25.000Z,0.0,Diesel,99.2,0,WORK,DRIVER_AVAILABLE,0,0,0,0
8,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:35:44.584Z,2024-03-27T05:36:53.931Z,83648740,0,0,51.266813,4.288056,355,2.64,2024-03-27T05:35:43.000Z,10.0,Diesel,99.2,0,DRIVE,DRIVER_AVAILABLE,0,0,0,0
9,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:37:15.583Z,2024-03-27T05:38:24.362Z,83649380,0,0,51.265816,4.279989,203,0.01,2024-03-27T05:37:14.000Z,0.0,Diesel,99.2,0,WORK,DRIVER_AVAILABLE,0,0,0,0
10,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:37:22.585Z,2024-03-27T05:38:32.098Z,83649385,0,0,51.265776,4.279972,185,1.71,2024-03-27T05:37:21.000Z,7.0,Diesel,99.2,0,DRIVE,DRIVER_AVAILABLE,0,0,0,0
11,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:38:44.883Z,2024-03-27T05:39:55.127Z,83650045,1703,52400,51.261713,4.278927,244,11.67,2024-03-27T05:38:36.000Z,46.0,Diesel,99.2,99,DRIVE,DRIVER_AVAILABLE,7,58,1024,1024
12,XLRTEF5300G450805,DISTANCE_TRAVELLED,RFMS,2024-03-27T05:38:42.302Z,2024-03-27T05:39:59.610Z,83650005,0,50000,51.261576,4.278451,248,12.43,2024-03-27T05:38:39.000Z,46.0,Diesel,99.2,99,DRIVE,,7,57,1032,1032
13,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:43:44.884Z,2024-03-27T05:44:56.006Z,83653000,1703,50400,51.256392,4.245702,297,9.18,2024-03-27T05:43:36.000Z,23.0,Diesel,99.2,99,DRIVE,DRIVER_AVAILABLE,7,78,1112,1112
14,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:45:08.598Z,2024-03-27T05:46:21.237Z,83653525,0,0,51.260354,4.247168,30,0.06,2024-03-27T05:45:08.000Z,0.0,Diesel,99.2,0,WORK,DRIVER_AVAILABLE,0,0,0,0
15,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:45:14.593Z,2024-03-27T05:46:24.440Z,83653525,0,0,51.260369,4.247182,30,0.54,2024-03-27T05:45:14.000Z,1.0,Diesel,99.2,0,DRIVE,DRIVER_AVAILABLE,0,0,0,0
16,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:46:37.590Z,2024-03-27T05:47:46.067Z,83653840,0,0,51.26276,4.249267,27,0.01,2024-03-27T05:46:37.000Z,0.0,Diesel,99.2,0,WORK,DRIVER_AVAILABLE,0,0,0,0
17,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:48:44.878Z,2024-03-27T05:49:55.441Z,83653840,1703,655350,51.262761,4.249272,27,0.0,2024-03-27T05:48:36.000Z,0.0,Diesel,99.2,99,WORK,DRIVER_AVAILABLE,7,80,1048,1048
18,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:52:02.512Z,2024-03-27T05:53:13.379Z,83653840,1703,655350,51.262765,4.24928,27,0.0,2024-03-27T05:51:36.000Z,0.0,Diesel,99.2,99,WORK,DRIVER_AVAILABLE,7,78,1040,1040
19,XLRTEF5300G450805,IGNITION_OFF,RFMS,2024-03-27T05:52:03.262Z,2024-03-27T05:53:15.108Z,0,0,0,51.262782,4.249274,27,0.0,2024-03-27T05:52:02.000Z,0.0,Diesel,99.2,102,,,7,78,0,0
20,XLRTEF5300G450805,ENGINE_OFF,RFMS,2024-03-27T05:52:05.993Z,2024-03-27T05:53:15.982Z,0,0,0,51.262782,4.249274,27,0.0,2024-03-27T05:52:05.000Z,0.0,Diesel,99.2,102,,,7,78,0,0
21,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:53:43.581Z,2024-03-27T05:54:54.999Z,0,0,0,51.262764,4.249281,27,0.0,2024-03-27T05:53:36.000Z,0.0,Diesel,0.0,0,,,0,0,0,0
22,XLRTEF5300G450805,IGNITION_ON,RFMS,2024-03-27T05:57:33.765Z,2024-03-27T05:59:23.218Z,83653840,0,655350,51.263,4.2492,0,0.0,,0.0,Diesel,99.2,99,REST,REST,7,76,976,976
23,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:55:24.164Z,2024-03-27T05:59:24.014Z,0,0,0,51.262769,4.249285,27,0.0,2024-03-27T05:54:36.000Z,0.0,Diesel,0.0,0,,,0,0,0,0
24,XLRTEF5300G450805,TIMER,RFMS,2024-03-27T05:58:47.935Z,2024-03-27T05:59:57.069Z,83653840,1703,655350,51.262791,4.249246,0,0.0,2024-03-27T05:58:01.000Z,0.0,Diesel,99.2,99,REST,REST,7,76,976,976
25,XLRTEF5300G450805,ENGINE_ON,RFMS,2024-03-27T05:58:48.765Z,2024-03-27T05:59:58.301Z,83653840,0,0,51.262791,4.249246,0,0.0,2024-03-27T05:58:48.000Z,0.0,Diesel,99.2,99,REST,REST,7,75,968,976
26,XLRTEF5300G450805,DRIVER_1_WORKING_STATE_CHANGED,RFMS,2024-03-27T05:59:00.360Z,2024-03-27T06:00:13.560Z,83653855,0,0,51.262885,4.249312,20,3.46,2024-03-27T05:59:00.000Z,12.0,Diesel,99.2,0,DRIVE,DRIVER_AVAILABLE,0,0,0,0
